ID,Tag
SRR30861139,Study Control
SRR30861138,Study Control
SRR30861137,Study Control
SRR30861136,Study Control
SRR30861135,Study Control
SRR30861134,Study Control
SRR30861133,Study Control
SRR30861132,Study Control
SRR30861130,Study Control
SRR30861129,Study Control
SRR30861128,Study Control
SRR30861127,Study Control
SRR30861126,Study Control
SRR30861125,Study Control
SRR30861124,Study Control
SRR30861123,Study Control
SRR30861121,Study Control
SRR30861099,Study Control
SRR30861097,Study Control
SRR30861096,Study Control
SRR30861094,Study Control
SRR30861093,Study Control
SRR30861092,Study Control
SRR30861095,Study Control
SRR30861091,Study Control
SRR30861090,Study Control
SRR30861089,Study Control
SRR30861088,Study Control
SRR30861085,Study Control
SRR30861084,Study Control
SRR30861087,Study Control
SRR30861083,Study Control
SRR30861082,Study Control
SRR30861081,Study Control
SRR30861080,Study Control
SRR30861078,Study Control
SRR30861077,Study Control
SRR30861076,Study Control
SRR30861075,Study Control
SRR30861131,Case
SRR30861098,Case
SRR30861079,Case
SRR30861074,Case
SRR30861073,Case
SRR30861118,Case
SRR30861117,Case
SRR30861115,Case
SRR30861113,Case
SRR30861109,Case
SRR30861108,Case
SRR30861107,Case
SRR30861106,Case
SRR30861104,Case
SRR30861101,Case
SRR30861100,Case
SRR30861141,Case
SRR30861140,Case
