ID,Tag
SRR6456149,Study Control
SRR6456151,Study Control
SRR6456132,Study Control
SRR6456133,Study Control
SRR6456135,Study Control
SRR6456129,Study Control
SRR6456130,Study Control
SRR6456179,Study Control
SRR6456175,Study Control
SRR6456178,Study Control
SRR6456177,Study Control
SRR6456163,Study Control
SRR6456168,Study Control
SRR6456170,Study Control
SRR6456171,Study Control
SRR6456252,Study Control
SRR6456248,Study Control
SRR6456247,Study Control
SRR6456255,Study Control
SRR6456238,Study Control
SRR6456239,Study Control
SRR6456237,Study Control
SRR6456242,Study Control
SRR6456243,Study Control
SRR6456240,Study Control
SRR6456241,Study Control
SRR6456245,Study Control
SRR6456227,Study Control
SRR6456229,Study Control
SRR6456233,Study Control
SRR6456232,Study Control
SRR6456361,Study Control
SRR6456358,Study Control
SRR6456365,Study Control
SRR6456364,Study Control
SRR6456363,Study Control
SRR6456368,Study Control
SRR6456371,Study Control
SRR6456370,Study Control
SRR6456372,Study Control
SRR6456375,Study Control
SRR6456374,Study Control
SRR6456377,Study Control
SRR6456356,Study Control
SRR6456357,Study Control
SRR6456352,Study Control
SRR6456152,Study Control
SRR6456154,Study Control
SRR6456153,Study Control
SRR6456156,Study Control
SRR6456155,Study Control
SRR6456158,Study Control
SRR6456157,Study Control
SRR6456134,Study Control
SRR6456128,Study Control
SRR6456131,Study Control
SRR6456136,Study Control
SRR6456137,Study Control
SRR6456182,Study Control
SRR6456181,Study Control
SRR6456176,Study Control
SRR6456174,Study Control
SRR6456173,Study Control
SRR6456164,Study Control
SRR6456165,Study Control
SRR6456166,Study Control
SRR6456167,Study Control
SRR6456169,Study Control
SRR6456172,Study Control
SRR6456253,Study Control
SRR6456251,Study Control
SRR6456250,Study Control
SRR6456249,Study Control
SRR6456246,Study Control
SRR6456254,Study Control
SRR6456236,Study Control
SRR6456244,Study Control
SRR6456226,Study Control
SRR6456228,Study Control
SRR6456231,Study Control
SRR6456230,Study Control
SRR6456235,Study Control
SRR6456234,Study Control
SRR6456210,Study Control
SRR6456211,Study Control
SRR6456360,Study Control
SRR6456359,Study Control
SRR6456362,Study Control
SRR6456366,Study Control
SRR6456369,Study Control
SRR6456373,Study Control
SRR6456376,Study Control
SRR6456354,Study Control
SRR6456355,Study Control
SRR6456353,Study Control
SRR6451261,Case
SRR6451258,Case
SRR6451256,Case
SRR6451254,Case
SRR6451676,Case
SRR6451673,Case
SRR6451690,Case
SRR6451664,Case
SRR6451666,Case
SRR6451667,Case
SRR6451663,Case
SRR6451692,Case
SRR6456145,Case
SRR6456223,Case
SRR6456221,Case
SRR6456220,Case
SRR6456217,Case
SRR6456224,Case
SRR6456180,Case
SRR6456212,Case
SRR6456213,Case
SRR6456206,Case
SRR6456209,Case
SRR6456215,Case
SRR6456205,Case
SRR6456204,Case
SRR6456202,Case
SRR6456192,Case
SRR6456186,Case
SRR6456183,Case
SRR6451260,Case
SRR6451259,Case
SRR6451257,Case
SRR6451255,Case
SRR6451262,Case
SRR6451677,Case
SRR6451675,Case
SRR6451674,Case
SRR6451681,Case
SRR6451680,Case
SRR6451679,Case
SRR6451678,Case
SRR6451672,Case
SRR6451685,Case
SRR6451684,Case
SRR6451687,Case
SRR6451686,Case
SRR6451689,Case
SRR6451688,Case
SRR6451691,Case
SRR6451683,Case
SRR6451682,Case
SRR6451668,Case
SRR6451669,Case
SRR6451670,Case
SRR6451671,Case
SRR6451665,Case
SRR6451662,Case
SRR6456141,Case
SRR6456140,Case
SRR6456139,Case
SRR6456138,Case
SRR6456144,Case
SRR6456143,Case
SRR6456148,Case
SRR6456147,Case
SRR6456162,Case
SRR6456150,Case
SRR6456160,Case
SRR6456159,Case
SRR6456146,Case
SRR6456142,Case
SRR6456161,Case
SRR6456222,Case
SRR6456219,Case
SRR6456218,Case
SRR6456216,Case
SRR6456225,Case
SRR6456207,Case
SRR6456208,Case
SRR6456214,Case
SRR6456201,Case
SRR6456200,Case
SRR6456199,Case
SRR6456198,Case
SRR6456203,Case
SRR6456197,Case
SRR6456196,Case
SRR6456193,Case
SRR6456190,Case
SRR6456191,Case
SRR6456188,Case
SRR6456189,Case
SRR6456187,Case
SRR6456194,Case
SRR6456195,Case
SRR6456184,Case
SRR6456185,Case
