ID,Tag
SRR10911129,1
SRR10911130,1
SRR10911131,0
SRR10911132,1
SRR10911134,1
SRR10911135,0
SRR10911136,1
SRR10911137,1
SRR10911138,1
SRR10911139,1
SRR10911140,0
SRR10911141,1
SRR10911142,1
SRR10911198,0
SRR10911200,1
SRR10911201,1
SRR10911202,0
SRR10911203,1
SRR10911204,1
SRR10911205,0
SRR10911206,0
SRR10911207,1
SRR10911208,1
SRR10911209,1
SRR10911211,1
SRR10911212,0
SRR10911213,1
SRR10911214,1
SRR10911215,1
SRR10911216,1
SRR10911217,1
SRR10911218,1
SRR10911219,0
SRR10911220,1
SRR10911249,1
SRR10911250,0
SRR10911251,1
SRR10911252,1
SRR10911253,0
SRR10911254,1
SRR10911255,1
SRR10911256,0
SRR10911257,1
SRR10911258,1
SRR10911260,0
SRR10911261,1
SRR10911262,1
SRR10911263,0
SRR10911264,1
SRR10911265,1
SRR10911266,0
SRR10911267,1
SRR10911268,1
SRR10911269,1
SRR10911272,1
SRR10911273,0
SRR10911274,1
SRR10911275,1
SRR10911277,0
SRR10911278,1
SRR10911279,1
SRR10911280,0
SRR10911281,1
SRR10911282,1
SRR10911283,0
SRR10911284,1
SRR10911285,1
SRR10911286,0
SRR10911288,1
SRR10911289,1
SRR10911290,0
SRR10911291,1
SRR10911292,1
SRR10911293,1
SRR10911294,1
SRR10911295,0
SRR10911296,1
SRR10911297,1
SRR10911299,0
SRR10911300,1
SRR10911301,1
SRR10911302,0
SRR10911303,1
SRR10911384,1
SRR10911385,0
SRR10911386,0
SRR10911387,1
SRR10911388,1
SRR10911390,0
SRR10911391,1
SRR10911392,1
SRR10911393,0
SRR10911394,1
SRR10911395,1
SRR10911396,0
SRR10911397,1
SRR10911398,1
SRR10911399,1
SRR10911401,1
SRR10911402,0
SRR10911403,1
SRR10911404,1
SRR10911405,0
SRR10911406,1
SRR10911407,0
SRR10911408,1
SRR10911409,1
SRR10911410,0
SRR10911412,1
SRR10911413,1
SRR10911414,0
SRR10911415,1
SRR10911416,1
SRR10911417,0
SRR10911419,0
SRR10911420,1
SRR10911421,1
SRR10911422,0
SRR10911423,1
SRR10911424,1
SRR10911425,0
SRR10911426,1
SRR10911427,1
SRR10911428,0
SRR10911430,1
SRR10911431,1
SRR10911432,1
SRR10911433,1
SRR10911434,0
SRR10911435,1
SRR10911436,1
SRR10911437,0
SRR10911438,1
SRR10911439,1
SRR10911458,0
SRR10911459,1
SRR10911460,1
SRR10911461,1
SRR10911462,1
SRR10911463,0
SRR10911464,0
SRR10911465,1
SRR10911467,1
SRR10911468,0
SRR10911469,1
SRR10911470,1
SRR10911472,0
SRR10911473,1
SRR10911474,1
SRR10911475,1
SRR10911476,1
SRR10911477,0
SRR10911478,1
SRR10911479,1
SRR10911480,0
SRR10911481,1
SRR10911483,1
SRR10911484,0
SRR10911485,1
SRR10911486,1
SRR10911487,0
SRR10911488,1
SRR10911489,1
SRR10911490,0
SRR10911491,1
SRR10911492,1
SRR10911494,0
SRR10911495,0
SRR10911496,1
SRR10911497,1
SRR10911498,0
SRR10911499,1
SRR10911500,1
SRR10911501,0
SRR10911502,1
SRR10911503,1
SRR10911504,1
SRR10911506,1
SRR10911507,0
SRR10911508,1
SRR10911509,1
SRR10911510,0
SRR10911511,1
SRR10911512,1
SRR10911513,0
SRR10911514,1
SRR10911515,1
SRR10911517,0
SRR10911518,0
SRR10911519,1
SRR10911520,1
SRR10911521,0
SRR10911522,1
SRR10911523,1
SRR10911524,1
SRR10911525,1
SRR10911526,0
SRR10911527,1
SRR10911529,1
SRR10911530,0
SRR10911531,1
SRR10911532,1
SRR10911533,0
SRR10911534,1
SRR10911535,1
SRR10911536,0
SRR10911537,0
SRR10911538,1
SRR10911541,1
SRR10911542,1
SRR10911543,1
SRR10911544,0
SRR10911545,1
SRR10911546,1
SRR10911547,1
SRR10911548,1
SRR10911549,0
SRR10911550,1
SRR10911551,1
SRR10911552,0
SRR10911553,1
SRR10911554,1
SRR10911556,0
SRR10911557,1
SRR10911558,1
SRR10911559,1
SRR10911560,1
SRR10911561,0
SRR10911562,1
SRR10911563,1
SRR10911564,0
SRR10911565,1
SRR10911567,1
SRR10911568,0
SRR10911569,1
SRR10911570,1
SRR10911571,0
SRR10911572,1
SRR10911573,1
SRR10911574,0
SRR10911575,1
SRR10911576,1
SRR10911579,0
SRR10911580,1
SRR10911581,1
SRR10911582,0
SRR10911583,1
SRR10911584,1
SRR10911585,1
SRR10911586,1
